date,location,latitude,longitude,river_discharge,precipitation
2020-02-27 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.59220874,
2020-02-28 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.4859357,
2020-02-29 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.42232883,
2020-03-01 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.38995266,
2020-03-02 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-03-03 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.7823787,
2020-03-04 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.032357,
2020-03-05 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.8113401,
2020-03-06 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.8113401,
2020-03-07 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.686553,
2020-03-08 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.56314766,
2020-03-09 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.4689263,
2020-03-10 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.40604758,
2020-03-11 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-03-12 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-03-13 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-14 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-15 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-16 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-17 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-18 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-19 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-20 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-21 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-22 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-23 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-24 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-25 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-03-26 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.31219995,
2020-03-27 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.31219995,
2020-03-28 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.31219995,
2020-03-29 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.31219995,
2020-03-30 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.31219995,
2020-03-31 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.31219995,
2020-04-01 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.34276497,
2020-04-02 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-03 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-04 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-05 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-06 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-07 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-08 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-09 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-10 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-11 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-12 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.37404191,
2020-04-13 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.40604758,
2020-04-14 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.4689263,
2020-04-15 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.8450154,
