date,latitude,longitude,wind_speed,central_pressure,basin
2023-10-13 06:00:00,27.2000,148.700, , ,WP
2022-07-27 21:00:00,16.2649,-115.700, , ,EP
2021-03-08 09:00:00,-29.9629,98.2975, , ,SI
2022-09-16 00:00:00,12.8000,-95.1000,30,1006,EP
2021-06-19 03:00:00,16.3700,-102.850, , ,EP
2021-08-01 18:00:00,14.6000,-120.400,75,985,EP
2023-06-08 03:00:00,13.9275,66.1800, , ,NI
2020-10-05 21:00:00,23.6632,138.927, , ,WP
2021-03-13 03:00:00,-20.4463,70.3713, , ,SI
2022-07-09 00:00:00,19.0000,-122.800,50,1001,EP
2024-02-19 21:00:00,-14.0423,57.1625, , ,SI
2020-11-04 12:00:00,20.2000,128.675,50,992,WP
2022-10-27 03:00:00,12.3727,130.255, , ,WP
2021-08-23 06:00:00,31.3385,125.669,35,998,WP
2022-12-22 06:00:00,-13.0000,87.4000, , ,SI
2021-09-12 00:00:00,24.3000,-114.800,25,1008,EP
2022-07-22 03:00:00,22.5423,-127.265, , ,EP
2022-10-27 00:00:00,12.6000,130.700, , ,WP
2020-10-05 00:00:00,11.2000,-104.600,30,1007,EP
2021-01-26 03:00:00,-18.6213,94.7577, , ,SI
2020-07-26 03:00:00,19.9145,-151.400, , ,EP
2021-11-07 06:00:00,8.20000,-99.7000,30,1007,EP
2020-03-11 18:00:00,-18.3000,115.800,35,999,SI
2020-09-11 06:00:00,28.5000,139.700, , ,WP
2020-09-29 06:00:00,50.6000,165.800, ,998,WP
2021-04-25 03:00:00,22.0828,137.048, , ,WP
2021-08-05 03:00:00,29.3377,138.673, , ,WP
2021-04-23 18:00:00,23.3250,130.525,50,985,WP
2023-02-28 06:00:00,-27.6000,68.0000, , ,SI
2022-09-04 00:00:00,26.3000,-116.600,35,1001,EP
2022-09-05 03:00:00,30.4348,125.141, , ,WP
2021-01-30 18:00:00,-18.9000,123.800,20,994,SI
2020-09-12 00:00:00,31.6000,138.400, , ,WP
2022-10-20 03:00:00,21.0574,128.958, , ,WP
2020-11-22 09:00:00,10.3924,51.9851,65,982,NI
2021-10-25 21:00:00,11.0683,111.862, , ,WP
2022-09-11 09:00:00,21.1775,160.078, , ,WP
2021-10-10 12:00:00,17.3250,159.275,40,998,WP
2021-09-06 21:00:00,17.2626,-106.060, , ,EP
2020-10-06 18:00:00,14.3000,-106.600,45,1002,EP
2020-09-13 15:00:00,17.5225,-115.065, , ,EP
2021-09-10 12:00:00,15.6750,111.475,50,992,WP
2023-05-16 06:00:00,-6.70000,75.5000, , ,SI
2021-06-04 12:00:00,21.8750,121.125,35,1002,WP
2022-09-23 18:00:00,21.0000,-121.800,20,1009,EP
2020-09-02 18:00:00,19.9500,139.400,70,965,WP
2020-11-16 06:00:00,-15.9000,72.4000,65,975,SI
2021-10-25 12:00:00,18.1000,-102.100,85,980,EP
2020-09-01 03:00:00,21.1835,144.685, , ,WP
2020-12-06 03:00:00,-8.82830,106.609, , ,SI
2021-12-12 06:00:00,5.51818,144.136, ,1002,WP
2020-12-03 03:00:00,9.14245,80.3600,40,998,NI
2023-10-29 21:00:00,10.7609,-92.4934, , ,EP
2021-01-18 06:00:00,-10.7000,131.300,15,1003,SI
2020-07-31 21:00:00,19.3403,129.262, , ,WP
2021-08-14 06:00:00,45.6500,173.500, ,1002,WP
2024-02-16 15:00:00,-16.3075,66.2628, , ,SI
2023-09-11 21:00:00,24.5297,-129.205, , ,EP
2023-09-01 03:00:00,22.0429,129.073, , ,WP
2023-02-24 21:00:00,-23.7699,69.3572, , ,SI
2021-07-20 12:00:00,19.0000,-124.300,30,1007,EP
2021-02-11 00:00:00,-22.6000,40.1000,25,1004,SI
2022-05-30 21:00:00,15.7000,-96.6000,90,971,EP
2020-10-17 00:00:00,36.3200,152.960, ,1012,WP
2024-05-20 00:00:00,-2.20000,75.7000, , ,SI
2021-04-16 15:00:00,9.68251,132.641, , ,WP
2021-12-08 18:00:00,-13.8000,104.600,30,1004,SI
2020-11-10 03:00:00,12.4787,109.470, , ,WP
2023-05-18 12:00:00,-9.40000,71.4000, , ,SI
